ID,User,nLos,D-Master,D-Slaver,D-Gate,Speed,x,y,z
410,1,0,71,30,73,7,-32,26,-1
411,1,0,68,27,73,10,-27,20,-22
412,1,0,71,25,73,5,-31,23,-15
413,1,0,71,20,73,3,-32,23,-11
414,1,0,72,21,73,8,-35,18,-8
415,1,0,71,27,73,2,-33,22,-6
416,1,0,72,25,73,5,-32,28,-5
417,1,0,69,23,73,8,-30,25,-3
418,1,0,70,27,73,1,-32,23,-3
419,1,0,68,24,73,4,-28,27,-2
420,1,0,69,29,73,0,-30,25,-3
421,1,0,69,20,73,8,-28,30,-2
422,1,0,68,30,73,8,-31,19,-2
423,1,0,71,19,73,5,-30,30,-2
424,1,0,68,31,73,11,-31,19,-2
425,1,0,70,28,73,13,-28,32,-1
426,1,0,72,27,73,2,-32,28,-1
427,1,0,69,22,73,9,-29,28,-1
428,1,0,70,25,73,9,-32,23,-1
429,1,0,68,23,73,4,-29,25,-1
430,1,0,70,26,73,1,-30,28,-1
431,1,0,69,24,73,5,-30,25,-1
432,1,0,70,29,73,3,-31,25,-1
433,1,0,69,30,73,2,-28,30,-1
434,1,0,70,29,73,5,-29,30,-1
435,1,0,70,21,73,5,-29,30,-1
436,1,0,69,31,73,7,-31,23,-1
437,1,0,71,30,73,1,-30,30,-2
438,1,0,71,28,73,1,-30,30,-2
439,1,0,71,22,73,5,-31,28,-1
440,1,0,69,30,73,7,-31,23,-1
441,1,0,73,29,73,2,-32,31,-1
442,1,0,71,28,73,2,-30,30,-1
443,1,0,68,27,73,5,-28,27,-1
444,1,0,70,23,73,3,-30,28,-1
445,1,0,68,26,73,8,-30,22,-1
446,1,0,71,26,73,4,-32,26,-1
447,1,0,70,29,73,3,-31,25,-1
448,1,0,68,29,73,8,-27,30,-1
449,1,0,69,28,73,5,-28,30,-1
450,1,0,71,26,73,3,-31,28,-1
451,1,0,68,27,73,5,-29,25,-1
452,1,0,68,22,73,3,-28,27,-1
453,1,0,70,29,73,5,-32,23,-1
454,1,0,72,23,73,5,-31,30,-1
455,1,0,69,27,73,5,-31,23,-1
456,1,0,68,21,73,5,-28,27,-1
457,1,0,70,22,73,7,-32,23,-1
458,1,0,68,29,73,1,-30,22,-1
459,1,0,69,30,73,3,-28,30,-1
460,1,0,74,23,73,8,-33,31,-1
461,1,0,71,23,73,3,-33,23,-1
462,1,0,70,30,73,8,-32,23,-1
463,1,0,69,21,73,5,-28,30,-1
464,1,0,71,29,73,0,-33,23,-1
465,1,0,69,29,73,8,-28,30,-1
466,1,0,70,27,73,1,-29,30,-1
467,1,0,73,32,73,5,-33,28,-1
468,1,0,68,29,73,2,-26,31,-1
469,1,0,69,28,73,1,-28,30,-1
470,1,0,69,25,73,4,-29,28,-1
471,1,0,70,26,73,7,-31,25,-1
472,1,0,72,23,73,6,-33,26,-1
473,1,0,69,30,73,5,-31,23,-1
474,1,0,70,28,73,5,-29,30,-1
475,1,0,71,29,73,2,-31,28,-1
476,1,0,70,30,73,7,-29,30,-1
477,1,0,69,28,73,1,-28,30,-1
478,1,0,69,30,73,2,-29,28,-1
479,1,0,69,32,73,1,-28,30,-1
480,1,0,70,28,73,2,-28,32,-1
481,1,0,68,30,73,1,-28,27,-1
482,1,0,69,20,73,0,-28,30,-2
483,1,0,73,31,73,14,-36,20,-1
484,1,0,70,30,73,5,-28,32,-1
485,1,0,68,23,73,1,-27,30,-1
486,1,0,71,27,73,4,-33,23,-1
487,1,0,68,28,73,5,-28,27,-1
488,1,0,72,25,73,5,-32,28,-1
489,1,0,69,24,73,3,-30,25,-1
490,1,0,69,28,73,2,-30,25,-1
491,1,0,68,21,73,4,-28,27,-1
492,1,0,68,28,73,3,-30,22,-1
493,1,0,68,24,73,2,-28,27,-1
494,1,0,70,26,73,3,-31,25,-1
495,1,0,67,29,73,3,-28,25,-1
496,1,0,68,30,73,3,-27,30,-1
497,1,0,71,28,73,5,-30,30,-1
498,1,0,70,29,73,3,-30,28,-1
499,1,0,69,27,73,1,-28,30,-1
500,1,0,71,30,73,2,-31,28,-1
501,1,0,69,28,73,2,-28,30,-1
502,1,0,69,28,73,2,-29,28,-1
503,1,0,68,30,73,3,-28,27,-1
504,1,0,72,30,73,3,-31,30,-1
505,1,0,72,28,73,2,-31,30,-1
506,1,0,71,29,73,3,-31,28,-1
507,1,0,70,27,73,2,-29,30,-1
508,1,0,68,27,73,4,-28,27,-1
509,1,0,70,23,73,1,-30,28,-1
510,1,0,70,27,73,7,-32,23,-1
511,1,0,70,25,73,2,-30,28,-1
512,1,0,70,27,73,3,-31,25,-1
513,1,0,70,24,73,5,-30,28,-1
514,1,0,69,29,73,3,-30,25,-1
515,1,0,68,27,73,6,-27,30,-1
516,1,0,70,26,73,0,-30,28,-1
517,1,0,68,33,73,1,-29,25,-1
518,1,0,68,31,73,3,-25,33,-1
519,1,0,67,28,73,5,-25,31,-1
520,1,0,68,30,73,2,-28,27,-1
521,1,0,68,30,73,3,-27,30,-1
522,1,0,69,28,73,3,-28,30,-1
523,1,0,71,25,73,3,-31,28,-1
524,1,0,68,28,73,5,-29,25,-1
525,1,0,69,29,73,2,-29,28,-1
526,1,0,71,25,73,2,-30,30,-1
527,1,0,68,30,73,0,-29,25,-1
528,1,0,68,27,73,2,-27,30,-1
529,1,0,69,28,73,2,-29,28,-1
530,1,0,70,28,73,3,-30,28,-1
531,1,0,70,24,73,3,-30,28,-1
532,1,0,70,28,73,3,-30,28,-1
533,1,0,71,25,73,2,-31,28,-1
534,1,0,71,30,73,2,-32,26,-1
535,1,0,68,29,73,3,-27,30,-1
536,1,0,68,30,73,4,-27,30,-1
537,1,0,72,33,73,4,-31,30,-1
538,1,0,69,22,73,2,-27,32,-1
539,1,0,70,27,73,8,-32,23,-1
540,1,0,69,22,73,2,-29,28,-1
541,1,0,72,29,73,11,-34,23,-1
542,1,0,69,30,73,8,-28,30,-1
543,1,0,71,24,73,2,-30,30,-1
544,1,0,70,31,73,3,-31,25,-1
545,1,0,68,28,73,2,-26,31,-1
546,1,0,68,25,73,3,-28,27,-1
547,1,0,68,29,73,2,-29,25,-1
548,1,0,70,27,73,3,-29,30,-1
549,1,0,68,31,73,0,-28,27,-1
550,1,0,68,29,73,6,-26,31,-1
551,1,0,69,24,73,1,-28,30,-1
552,1,0,73,31,73,6,-34,26,-1
553,1,0,70,27,73,2,-28,32,-1
554,1,0,68,24,73,3,-28,27,-1
555,1,0,74,30,73,3,-36,23,-1
556,1,0,70,27,73,2,-29,30,-1
557,1,0,71,29,73,3,-31,28,-1
558,1,0,69,30,73,10,-28,30,-1
559,1,0,70,26,73,0,-29,30,-1
560,1,0,69,28,73,3,-30,25,-1
561,1,0,69,29,73,2,-29,28,-1
562,1,0,69,27,73,1,-28,30,-1
563,1,0,70,29,73,3,-30,28,-1
564,1,0,69,31,73,2,-28,30,-1
565,1,0,71,28,73,2,-30,30,-1
566,1,0,69,26,73,1,-29,28,-1
567,1,0,69,21,73,5,-30,25,-1
568,1,0,69,25,73,7,-31,23,-1
569,1,0,70,30,73,3,-31,25,-1
570,1,0,68,26,73,5,-27,30,-1
571,1,0,67,29,73,3,-28,25,-1
572,1,0,68,28,73,6,-27,30,-1
573,1,0,70,23,73,3,-30,28,-1
574,1,0,69,23,73,3,-31,23,-1
575,1,0,69,26,73,8,-31,23,-1
576,1,0,71,29,73,2,-32,26,-1
577,1,0,68,22,73,8,-27,30,-1
578,1,0,68,29,73,1,-30,22,-1
579,1,0,68,27,73,6,-27,30,-1
580,1,0,69,21,73,2,-29,28,-1
581,1,0,68,28,73,0,-30,22,-1
582,1,0,69,23,73,2,-29,28,-1
583,1,0,68,29,73,6,-30,22,-1
584,1,0,68,27,73,8,-27,30,-1
585,1,0,71,29,73,2,-31,28,-1
586,1,0,69,24,73,8,-28,30,-1
587,1,0,71,29,73,6,-32,26,-1
588,1,0,69,28,73,3,-28,30,-1
589,1,0,70,30,73,2,-30,28,-1
590,1,0,69,21,73,5,-28,30,-1
591,1,0,68,25,73,8,-30,22,-1
592,1,0,68,28,73,3,-29,25,-1
593,1,0,70,27,73,2,-30,28,-1
594,1,0,72,25,73,6,-32,28,-1
595,1,0,70,25,73,2,-31,25,-1
596,1,0,68,27,73,3,-29,25,-1
597,1,0,69,30,73,3,-29,28,-1
598,1,0,68,20,73,6,-27,30,-1
599,1,0,68,26,73,6,-31,19,-1
600,1,0,68,28,73,3,-29,25,-1
601,1,0,68,29,73,3,-28,27,-1
602,1,0,70,28,73,11,-29,30,-1
603,1,0,69,28,73,3,-29,28,-1
604,1,0,70,30,73,2,-30,28,-1
605,1,0,68,28,73,2,-27,30,-1
606,1,0,69,25,73,0,-29,28,-1
607,1,0,68,27,73,3,-29,25,-1
608,1,0,68,22,73,3,-28,27,-1
609,1,0,68,27,73,6,-30,22,-1
610,1,0,68,28,73,2,-28,27,-1
611,1,0,71,29,73,3,-31,28,-1
612,1,0,68,29,73,8,-27,30,-1
613,1,0,68,27,73,3,-27,30,-1
614,1,0,66,26,73,5,-26,27,-1
615,1,0,67,26,73,5,-28,25,-2
616,1,0,68,30,73,5,-29,25,-1
617,1,0,70,21,73,4,-29,30,-1
618,1,0,69,29,73,3,-31,23,-1
619,1,0,69,23,73,5,-28,30,-1
620,1,0,72,29,73,8,-34,23,-1
621,1,0,68,28,73,8,-27,30,-1
622,1,0,68,28,73,3,-28,27,-1
623,1,0,68,24,73,7,-28,27,-1
624,1,0,71,22,73,6,-32,26,-1
625,1,0,69,21,73,5,-31,23,-1
626,1,0,69,20,73,5,-31,23,-1
627,1,0,68,26,73,7,-31,19,-1
628,1,0,71,30,73,3,-32,26,-1
