2025-03-31 17:55:12 , INFO , ID, User, nLos, D-Master, D-Slaver, D-Gate, Speed, x, y, z, Auth, Trans, RSSI-M
2025-03-31 17:55:34 , INFO , 89, 0, 0, 43, 83, 100, 3, 22, 32, 0, 9, 4, 0.0
2025-03-31 17:55:34 , INFO , 90, 0, 0, 43, 85, 100, 3, 25, 34, 0, 9, 4, 0.0
2025-03-31 17:55:35 , INFO , 91, 0, 0, 41, 83, 100, 2, 27, 33, 0, 9, 4, 0.0
2025-03-31 17:55:35 , INFO , 92, 0, 0, 43, 83, 100, 3, 25, 34, 0, 9, 4, 0.0
2025-03-31 17:55:35 , INFO , 93, 0, 0, 41, 84, 100, 1, 26, 33, 0, 9, 4, 0.0
2025-03-31 17:55:35 , INFO , 94, 0, 0, 41, 86, 100, 1, 26, 33, 0, 9, 4, 0.0
2025-03-31 17:55:36 , INFO , 95, 0, 0, 43, 83, 100, 2, 27, 36, 0, 9, 4, 0.0
2025-03-31 17:55:36 , INFO , 96, 0, 0, 40, 84, 100, 1, 26, 32, 0, 9, 4, 0.0
2025-03-31 17:55:36 , INFO , 97, 0, 0, 39, 88, 100, 2, 27, 31, 0, 9, 4, 0.0
2025-03-31 17:55:36 , INFO , 98, 0, 0, 43, 84, 100, 2, 29, 37, 0, 9, 4, 0.0
2025-03-31 17:55:37 , INFO , 99, 0, 0, 42, 83, 100, 2, 26, 34, 0, 9, 4, 0.0
2025-03-31 17:55:37 , INFO , 100, 0, 0, 41, 84, 100, 2, 26, 33, 0, 9, 4, 0.0
2025-03-31 17:55:37 , INFO , 101, 0, 0, 40, 88, 100, 5, 27, 32, 0, 9, 4, 0.0
2025-03-31 17:55:37 , INFO , 102, 0, 0, 43, 82, 100, 4, 29, 37, 0, 9, 4, 0.0
2025-03-31 17:55:38 , INFO , 103, 0, 0, 43, 82, 100, 2, 24, 34, 0, 9, 4, 0.0
2025-03-31 17:55:38 , INFO , 104, 0, 0, 41, 86, 100, 2, 25, 32, 0, 9, 4, 0.0
2025-03-31 17:55:38 , INFO , 105, 0, 0, 42, 82, 100, 2, 28, 35, 0, 9, 4, 0.0
2025-03-31 17:55:38 , INFO , 106, 0, 0, 42, 83, 100, 2, 24, 32, 0, 9, 4, 0.0
2025-03-31 17:55:39 , INFO , 107, 0, 0, 42, 82, 100, 1, 25, 33, 0, 9, 4, 0.0
2025-03-31 17:55:39 , INFO , 108, 0, 0, 43, 83, 100, 4, 24, 34, 0, 9, 4, 0.0
2025-03-31 17:55:39 , INFO , 109, 0, 0, 41, 87, 100, 2, 26, 33, 0, 9, 4, 0.0
2025-03-31 17:55:39 , INFO , 110, 0, 0, 42, 77, 100, 5, 29, 36, 0, 9, 4, 0.0
2025-03-31 17:55:40 , INFO , 111, 0, 0, 42, 83, 100, 6, 20, 29, 0, 9, 4, 0.0
2025-03-31 17:55:40 , INFO , 112, 0, 0, 42, 85, 100, 1, 25, 33, 0, 9, 4, 0.0
2025-03-31 17:55:40 , INFO , 113, 0, 0, 43, 88, 100, 3, 26, 35, 0, 9, 4, 0.0
2025-03-31 17:55:40 , INFO , 114, 0, 0, 42, 86, 100, 11, 29, 36, 0, 9, 4, 0.0
2025-03-31 17:55:41 , INFO , 115, 0, 0, 45, 85, 100, 5, 26, 38, 0, 9, 4, 0.0
2025-03-31 17:55:41 , INFO , 116, 0, 0, 42, 87, 100, 1, 27, 35, 0, 9, 4, 0.0
2025-03-31 17:55:41 , INFO , 117, 0, 0, 41, 82, 100, 1, 29, 35, 0, 9, 4, 0.0
2025-03-31 17:55:41 , INFO , 118, 0, 0, 43, 85, 100, 4, 24, 34, 0, 9, 4, 0.0
2025-03-31 17:55:42 , INFO , 119, 0, 0, 43, 83, 100, 1, 26, 35, 0, 9, 4, 0.0
2025-03-31 17:55:42 , INFO , 120, 0, 0, 44, 84, 100, 5, 24, 35, 0, 9, 4, 0.0
2025-03-31 17:55:42 , INFO , 121, 0, 0, 40, 83, 100, 3, 27, 32, 0, 9, 4, 0.0
2025-03-31 17:55:42 , INFO , 122, 0, 0, 41, 82, 100, 2, 26, 33, 0, 9, 4, 0.0
